,Brand,Categorie,Description,Name,Photo,Price
313, Silverline Capella,diy,Succombez à la gourmandise de l'arôme Candied Watermelon Silverline Capella ❤ un délicieux concentré fruité 13ml ➤ reproduisant un bonbon à la pastèque bien sucré.,Arôme Candied Watermelon - Silverline Capella,https://www.evaps.fr/documents/media/images/contenu/arome-candied-watermelon-silverline-capella.jpg,3.90
70, Eleaf,e_cigarette,"Le kit Istick Kiya par Eleaf est le kit idéal pour les débutants faisant un premier pas dans la cigarette électronique ❤ Compacte et ergonomique, l'Istick Kiya se faufilera dans toutes les mains.",Kit Istick Kiya GS Juni - Eleaf,https://www.evaps.fr/documents/media/images/contenu/kit-istick-kiya-eleaf.jpg,48.90
362, Maw,diy,"Avec le concentré Maw Lee Revolute ❤ donnez de l'exotisme à votre clearomiseur.  Savant mélange frais de framboise et de litchi, l'arôme Lee Maw donnera à vos nuages un air de vacances.",Arôme Lee - Maw,https://www.evaps.fr/documents/media/images/contenu/arome-lee-maw.jpg,5.20
196,liquide Fruits Rouges - So Fifty,e_liquide,Le Fruits Rouges So Fifty ❤ est une nouvelle version du e-liquide du même nom fabriqué par Alfaliquid. Redécouvrez la fabuleuse combinaison fruitée de cet e-liquide Fruits Rouges Alfaliquid avec sa nouvelle composition en 50% de PG et 50 % de VG !,E-liquide Fruits Rouges - So Fifty,https://www.evaps.fr/documents/media/images/contenu/fruits-rouges-10ml-so-fifty.jpg,5.90
238, Aqua,e_liquide,"Explorez de nouveaux horizons avec le e liquide Oasis Ice Aqua ❤ savoureux et complexe mélange alliant une pêche juteuse à un melon sucré, accompagné de papaye et harmonisé avec un menthol rafraîchissant.",Oasis Ice 50ml - Aqua,https://www.evaps.fr/documents/media/images/contenu/oasis-ice-aqua.jpg,19.90
260, Marie Jeanne ,e_liquide,"Le e liquide CBD Malana Full spectrum Marie Jeanne ❤ vous fera redécouvrir l'utilisation du CBD. Avec son extraction  inédite et totalement novatrice en full spectrum, ce e-liquide cbd français ✔ se montrera encore plus efficace que ses acolytes.",Malana CBD Full Spectrum - Marie Jeanne ,https://www.evaps.fr/documents/media/images/contenu/cbd-malana-marie-jeanne.jpg,18.90
311,liquide All Coil - Liquideo,e_liquide,"Préparez vos vacances avec le e liquide All Coil 10ml Liquideo ❤, une rencontre rafraîchissante d'une multitude de fruits savoureux, rafraîchis par une menthe fraîche intense. Ce Liquideo All Coil fruité vous réserve une belle aventure de saveurs.",E-liquide All Coil - Liquideo,https://www.evaps.fr/documents/media/images/contenu/e-liquide-all-coil-liquideo.jpg,4.90
159, Minimal,e_liquide,Voyez la vie en rouge avec le e liquide Badiane Rouge Minimal ❤ un succulent mix de fruits rouges harmonisé à la perfection avec une saveur subtile d'anis et de menthe.,Badiane Rouge - Minimal,https://www.evaps.fr/documents/media/images/contenu/badiane-rouge-minimal.jpg,6.90
401, Swag Juice,diy,Égayez votre clearomiseur avec l'arôme Marmoset Red Amazon Swag Juice Remix ❤,Concentré Marmoset 10ml - Swag Juice,https://www.evaps.fr/documents/media/images/contenu/concentre-marmoset-swag-juice.jpg,5.90
317, Halo,diy,"Le concentré Torque 56 Halo ❤ est la version concentrée du célèbre e-liquide Torque 56 de Halo. Il vous permettra de fabriquer votre eliquide avec ce goût mythique de tabac ""classic brun"", fort et intense : un des meilleurs aromes DIY tabac !L'arôme Torque 56 doit être mélangé à une base PG/VG, avec ou sans nicotine.",Arôme Torque 56 - Halo,https://www.evaps.fr/documents/media/images/contenu/arome-torque-56-halo.jpg,7.90
166, Bee,e_liquide,"L'eliquide Melony² Bee est une création fruitée, mélangeant avec harmonie un melon et une pastèque juteux à souhait. Cet e-liquide français au melon est une réussite qui plaira à un grand nombre de vapoteurs recherchant une vape désaltérante !Le Melony Bee 10ml Solevan est fabriqué en France par la marque Solevan.",Melony² 10ml - Bee,https://www.evaps.fr/documents/media/images/contenu/melony-10ml-bee.jpg,5.90
276, Avap,e_liquide,"Voyez la vape en rouge avec le e-liquide Avap 10ml Red Devil ❤. Un somptueux mélange, de fruits rouges bien sucrés accompagnés d'absinthe, fait du Red Devil 10ml Avap un eliquide des plus surprenant et envoûtant.",Red Devil 10ml - Avap,https://www.evaps.fr/documents/media/images/contenu/red-devil-10ml-avap.jpg,5.90
197,liquide Fraise Mûre - So Fifty,e_liquide,Le Fraise Mûre So Fifty ❤ est une nouvelle version du e-liquide du même nom fabriqué par Alfaliquid. Redécouvrez le plaisir fruité de cet e-liquide Fraise Mûre Alfaliquid avec sa nouvelle composition de 50% de PG et 50 % de VG !,E-liquide Fraise Mûre - So Fifty,https://www.evaps.fr/documents/media/images/contenu/fraise-mure-10ml-so-fifty.jpg,5.90
438, Ultimate,diy,Découvrez l'arôme Ifrit V2 de Ultimate © !,Concentré Ifrit V2 30 ml - Ultimate,https://www.evaps.fr/documents/media/images/contenu/ifrit-ultimate.jpg,13.90
322, Readiy,diy,"Le concentré Mangue Banane Readiy ❤ est un arôme d'origine française pour la fabrication de liquide pour cigarette électronique. Cet arôme Mangue Banane est un vrai bonheur fruité et original, mélangeant les délicieuses saveurs de ces fruits tropicaux.",Arôme Mangue Banane - Readiy,https://www.evaps.fr/documents/media/images/contenu/arome-mangue-banane-readiy.jpg,3.50
339, Dude's,diy,Le concentré Soursop Strawberry Dude's ❤ est un concentré aux saveurs exotiques qui saura surprendre et conquérir le cœur des vapoteurs ✔,Soursop Strawberry - Dude's,https://www.evaps.fr/documents/media/images/contenu/soursop-strawberry-dude-s.jpg,13.90
42, Vaporesso,e_cigarette,"Le Kit Vaporesso Cascade One Plus SE ❤ sera la cigarette électronique idéale ✔ pour vapoteur nomade ! Entre ▶ design et ▶ technologie, ce kit Vaporesso ne vous lâchera pas ✔",Kit Cascade One Plus SE - Vaporesso,https://www.evaps.fr/documents/media/images/contenu/kit-cascade-one-plus-se-vaporesso.jpg,45.90
188, Avap,e_liquide,Refroidissez vos papilles avec le e liquide Avap White Devil ❤ ,White Devil - Avap,https://www.evaps.fr/documents/media/images/contenu/white-devil-avap.jpg,5.90
211, Swag Juice,e_liquide,"Faites frissonner vos papilles de plaisir avec le e liquide Winter APE Swag Juice ❤ une recette originale mêlant une cerise sucrée à une réglisse subtile, le tout rehaussé par un effet fresh glacialement addictif.",Winter APE 50ml - Swag Juice,https://www.evaps.fr/documents/media/images/contenu/winter-ape-50ml-swag-juice.jpg,16.90
185, Five Pawns,e_liquide,Faites voyager vos sens avec le délicieux e liquide Royal Tobacco Five Pawns ❤ un audacieux e-liquide mêlant une base tabac avec des fruits exotiques en tout genre.,Royal Tobacco 50ml - Five Pawns,https://www.evaps.fr/documents/media/images/contenu/royal-tobacco-50ml-five-pawns.jpg,24.90
314, Silverline Capella,diy,Rafraîchissez vous avec l'arôme Tropical Fruit Punch Silverline Capella ❤ un délicieux concentré DIY fruité ➤ reproduisant un punch aux multiples saveurs fruitées et rafraîchissantes.,Arôme Tropical Fruit Punch - Silverline Capella,https://www.evaps.fr/documents/media/images/contenu/arome-tropical-fruit-punch-silverline-capella.jpg,3.90
446, Readiy,diy,Plongez vos recettes dans l'univers de la confiserie avec l'additif Ethyl Maltol de Readiy ©!,Additif Ethyl Maltol - Readiy,https://www.evaps.fr/documents/media/images/contenu/additif-ethyl-maltol-readiy.jpg,3.50
163, Bee,e_liquide,"L'eliquide Pomm's Bee vous propose de vaper une pomme verte appétissante, fraîchement cueillie de son arbre. Laissez vous tenter par cet e liquide français pomme, réaliste et convaincant !Le Pomms Bee Solevan est fabriqué en France par la marque Solevan.",Pomm's 10ml - Bee,https://www.evaps.fr/documents/media/images/contenu/pomms-10ml-bee.jpg,5.90
136, Tesla,e_cigarette,,Mod box 100 W - Tesla,https://www.evaps.fr/documents/media/images/contenu/mod-tesla-stealth-100-w-tesla.jpg,39.90
346, Dude's,diy,"Avec l'arôme Butterscotch Cookies Dude's ❤ découvrez votre ▶ nouvel arôme gourmand préféré, pour des recettes d'eliquides à croquer !",Butterscotch Cookies - Dude's,https://www.evaps.fr/documents/media/images/contenu/butterscotch-cookies-dude-s.jpg,13.90
